feature,importance
15,0.04880846631012203
9,0.043812270851013906
41,0.043511994601373095
7,0.042453025631278056
17,0.040677029072481
19,0.039250945779193
3,0.03502391419029636
5,0.03445124648538046
33,0.034329863796810016
13,0.03394362572603118
25,0.033126470102085165
39,0.03295601890257134
23,0.031659331893010775
27,0.03155693272867299
11,0.031005025033856905
29,0.029175344679887822
37,0.027967841162402664
21,0.027919445027381674
35,0.02785394980795781
31,0.027797793703810986
feat_range,0.0171850790257234
2,0.017008288531083313
34,0.016213540852036794
40,0.015270871815211846
feat_max,0.014579982535132438
8,0.014444869077384565
38,0.013936245046455615
4,0.013544083788688299
36,0.01300435319562947
feat_min,0.012698528322124347
6,0.012298735684486502
32,0.011698326998386077
24,0.011528549324226567
16,0.011449271218655235
22,0.011077154517171695
14,0.010874925998197085
feat_std,0.01080391276549896
26,0.010439191227857443
10,0.010376770695924065
28,0.009989979742437162
30,0.009892919188684709
12,0.009657033134788074
20,0.008814700911435597
18,0.008214895149288392
feat_mean,0.007717255767875095
1,0.0
0,0.0
